Accession	Virus Name
Z66541.1	Human astrovirus 8
Z25771.1	Human astrovirus 1
Y15938.2	Mamastrovirus 3
Y15937.2	Mamastrovirus 13
Y15936.2	Avastrovirus 1
X96871.1	Equine rhinitis B virus 1
U52600.1	Infectious bronchitis virus
U52595.1	Infectious bronchitis virus
U15136.1	Human astrovirus 5
S68561.1	Human astrovirus 1
L06253.1	Infectious bronchitis virus
L06252.1	Infectious bronchitis virus
GU182408.1	Oscivirus A1
AY641576.1	Infectious bronchitis virus
AY536760.3	SARS coronavirus BJ01
AY338174.1	SARS coronavirus Taiwan TC1
AY304470.1	Human astrovirus 8
AY304462.1	Human astrovirus 2
AY304457.1	Human astrovirus 1
AY304452.1	Human astrovirus 1
AY188199.1	Human astrovirus
AY188195.1	Human astrovirus
AY188191.1	Human astrovirus
AY188190.1	Human astrovirus
AY188187.1	Human astrovirus
AY179509.1	Mamastrovirus 10
AJ619594.1	Pheasant coronavirus
AJ619592.1	Pheasant coronavirus
AJ619584.1	Pheasant coronavirus
AJ619583.1	Pheasant coronavirus
AJ619582.1	Pheasant coronavirus
AJ619580.1	Pheasant coronavirus
AJ278335.1	Infectious bronchitis virus
AF361253.1	Equine rhinitis B virus 2
AF257226.1	Human astrovirus 2
AF111997.1	Turkey coronavirus
AF111995.1	Turkey coronavirus
AF056197.1	Mamastrovirus 2
AB046864.1	Avian nephritis virus 2
AB037273.1	Human astrovirus 5
AB033998.1	Avian nephritis virus 1
